"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mir99ahg1",0,1.96533939543154,0.776,0.185,0,"9","Mir99ahg"
"Adam23",0,1.93278788328686,0.815,0.028,0,"9","Adam23"
"Lsamp1",0,1.91658989362199,0.662,0.052,0,"9","Lsamp"
"Sorbs21",0,1.89324224388056,0.838,0.109,0,"9","Sorbs2"
"Sgcd1",0,1.89276119464102,0.777,0.097,0,"9","Sgcd"
"Ccnd11",0,1.87716814468988,0.775,0.155,0,"9","Ccnd1"
"Pde7b",0,1.87187655476142,0.824,0.141,0,"9","Pde7b"
"Cadm11",0,1.83762937623929,0.88,0.085,0,"9","Cadm1"
"Gria4",0,1.83135175844085,0.718,0.059,0,"9","Gria4"
"Map2",0,1.82359983451759,0.826,0.032,0,"9","Map2"
"Dmd2",0,1.78284947133529,0.883,0.15,0,"9","Dmd"
"Zbtb20",0,1.77249624630209,0.995,0.664,0,"9","Zbtb20"
"Pmepa1",0,1.7618769143051,0.793,0.226,0,"9","Pmepa1"
"Sox61",0,1.75348128884322,0.804,0.102,0,"9","Sox6"
"Ctnnal1",0,1.75155106214621,0.802,0.077,0,"9","Ctnnal1"
"Rbms31",0,1.74457515535108,0.984,0.211,0,"9","Rbms3"
"Dlgap1",0,1.74124914894308,0.773,0.022,0,"9","Dlgap1"
"Col18a11",0,1.72396670428481,0.82,0.047,0,"9","Col18a1"
"Ppp1r14b",0,1.69757559921916,0.937,0.431,0,"9","Ppp1r14b"
"Gulp11",0,1.68454940165371,0.83,0.154,0,"9","Gulp1"
"Marcks2",0,1.67217466916418,0.984,0.429,0,"9","Marcks"
"Gas7",0,1.66422369303182,0.825,0.151,0,"9","Gas7"
"Pcdh91",0,1.66368229810271,0.596,0.083,0,"9","Pcdh9"
"Sgip11",0,1.66162271257723,0.684,0.049,0,"9","Sgip1"
"Lrrc4c",0,1.65910434796368,0.692,0.031,0,"9","Lrrc4c"
"Slitrk6",0,1.65619441324056,0.736,0.029,0,"9","Slitrk6"
"Qki1",0,1.65043992373249,0.93,0.511,0,"9","Qki"
"Stk32a",0,1.61332377228245,0.74,0.01,0,"9","Stk32a"
"Ptprm1",0,1.60916422252097,0.764,0.155,0,"9","Ptprm"
"Grid2",0,1.60881413434046,0.453,0.011,0,"9","Grid2"
"Hmcn1",0,1.60285349980902,0.687,0.079,0,"9","Hmcn1"
"Crip21",0,1.58066155172165,0.88,0.098,0,"9","Crip2"
"2610307P16Rik",0,1.56400638481738,0.873,0.123,0,"9","2610307P16Rik"
"Sox51",0,1.55665730206041,0.833,0.155,0,"9","Sox5"
"Sox10",0,1.53097556866021,0.749,0,0,"9","Sox10"
"Adgrg6",0,1.53034324271282,0.777,0.014,0,"9","Adgrg6"
"Csmd1",0,1.52935094284437,0.26,0.008,0,"9","Csmd1"
"Grb14",0,1.51076048900211,0.702,0.052,0,"9","Grb14"
"Cd92",0,1.49981435051687,0.946,0.327,0,"9","Cd9"
"Map1b",0,1.48038147691906,0.858,0.14,0,"9","Map1b"
"Lama42",0,1.4779210689347,0.789,0.15,0,"9","Lama4"
"Dtna",0,1.46045342276939,0.653,0.038,0,"9","Dtna"
"Limch11",0,1.45600353680353,0.785,0.047,0,"9","Limch1"
"Metrn",0,1.44904114761923,0.734,0.034,0,"9","Metrn"
"Cdh61",0,1.44680571712314,0.666,0.045,0,"9","Cdh6"
"Nrcam",0,1.44520918232994,0.693,0.005,0,"9","Nrcam"
