"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gem",8.20353779202932e-216,1.64265169302763,0.659,0.19,1.57015713339441e-211,"10","Gem"
"Tab2",5.54910363171014e-213,1.00529132164502,0.895,0.416,1.06209843510932e-208,"10","Tab2"
"Ifngr1",4.29604831434348e-210,1.33469121515884,0.922,0.471,8.22263647365343e-206,"10","Ifngr1"
"Nfatc1",8.05849603511135e-210,1.06522855655408,0.751,0.256,1.54239614112031e-205,"10","Nfatc1"
"Macroh2a1",3.07656098524399e-202,1.07690843510355,0.955,0.612,5.88853772575699e-198,"10","Macroh2a1"
"Cdc14a",9.60830141540839e-202,1.16313254425303,0.738,0.266,1.83902889090917e-197,"10","Cdc14a"
"Clcn3",1.05239357975065e-197,1.04629469169498,0.861,0.375,2.01428131164274e-193,"10","Clcn3"
"Rabgap1l",3.38673961124643e-194,1.29206752511451,0.947,0.558,6.48221961592567e-190,"10","Rabgap1l"
"Tm9sf21",1.4003033972737e-192,1.34382345549987,0.893,0.494,2.68018070238185e-188,"10","Tm9sf2"
"Parp8",1.02614966781608e-191,1.0052999031876,0.843,0.338,1.96405046419999e-187,"10","Parp8"
"Rps6ka3",6.73596832755046e-183,1.06611772375848,0.919,0.478,1.28926433789316e-178,"10","Rps6ka3"
"Tmsb101",5.21741927554649e-180,1.03159723670846,1,0.927,9.98614049339599e-176,"10","Tmsb10"
"Zc3h13",2.00666234754717e-178,1.08360588222479,0.855,0.425,3.84075173320528e-174,"10","Zc3h13"
"Prickle11",3.34812195932505e-176,1.0143599538886,0.628,0.189,6.40830543014815e-172,"10","Prickle1"
"Nfkbia1",4.17026327563344e-175,1.00734931752587,0.89,0.428,7.98188390956241e-171,"10","Nfkbia"
"Nrip1",8.09837192229527e-172,1.04367351641912,0.863,0.412,1.55002838592731e-167,"10","Nrip1"
"Zfp36l1",7.62334283348156e-169,1.12864563495547,0.981,0.675,1.45910781832837e-164,"10","Zfp36l1"
"Serpinb1a",1.01966298862456e-167,1.00016859943634,0.772,0.294,1.9516349602274e-163,"10","Serpinb1a"
"B2m1",6.09183242540704e-163,1.08471139124192,0.997,0.836,1.16597672622291e-158,"10","B2m"
"Shisa51",4.24932822088683e-158,1.05024550419248,0.934,0.5,8.13321421477739e-154,"10","Shisa5"
"Rgs11",4.553229997742e-153,1.08903590250156,0.625,0.193,8.71488221567818e-149,"10","Rgs1"
"Igf1r",2.95409142710666e-145,1.07332932972666,0.793,0.372,5.65413099148214e-141,"10","Igf1r"
"Junb1",6.13952536313438e-96,1.27987064306027,0.83,0.489,1.17510515450392e-91,"10","Junb"
"Chgb",0,6.55555284368254,0.918,0.007,0,"11","Chgb"
"Pyy",0,6.25338968571404,0.417,0.015,0,"11","Pyy"
"Sct",0,6.18922299052677,0.885,0.036,0,"11","Sct"
"Chga",0,4.8994599965388,0.913,0.004,0,"11","Chga"
"Nrg1",0,4.731932018751,0.515,0.021,0,"11","Nrg1"
"Kcnb2",0,4.39008700670209,0.98,0.081,0,"11","Kcnb2"
"Ptprn21",0,3.6721922423849,0.977,0.054,0,"11","Ptprn2"
"Stxbp5l",0,3.65697594919993,0.775,0.008,0,"11","Stxbp5l"
"Cck",0,3.53048747006115,0.603,0.007,0,"11","Cck"
"Cacna1a",0,3.4087024233731,0.977,0.072,0,"11","Cacna1a"
"Sis",0,3.17074645733333,0.758,0.007,0,"11","Sis"
"Cd200l11",0,2.75756327790159,0.966,0.06,0,"11","Cd200l1"
"Tm4sf4",0,2.72014631437371,0.766,0.017,0,"11","Tm4sf4"
"Dach1",0,2.68969369418314,0.834,0.068,0,"11","Dach1"
"Nalf1",0,2.68527670033796,0.431,0.031,0,"11","Nalf1"
"Cacna2d11",0,2.66830197947801,0.93,0.182,0,"11","Cacna2d1"
"Kcnh7",0,2.57654447455595,0.704,0.007,0,"11","Kcnh7"
"Cadps",0,2.57342698477736,0.899,0.02,0,"11","Cadps"
"Pcsk1",0,2.55971220081078,0.848,0.005,0,"11","Pcsk1"
"Rimbp2",0,2.53303175575948,0.955,0.002,0,"11","Rimbp2"
"Lmx1a",0,2.51940774925108,0.414,0.002,0,"11","Lmx1a"
"Dach2",0,2.47955836444748,0.434,0.033,0,"11","Dach2"
"Slc18a1",0,2.47896887696588,0.794,0.032,0,"11","Slc18a1"
"Lgals22",0,2.43731372980401,0.744,0.056,0,"11","Lgals2"
"Tph1",0,2.35915359766099,0.406,0.003,0,"11","Tph1"
"Glis3",0,2.34213182050361,0.637,0.056,0,"11","Glis3"
"Ddc",0,2.34119254907374,0.792,0.055,0,"11","Ddc"
"Kcnj3",0,2.28725336893326,0.6,0.001,0,"11","Kcnj3"
"Pde11a",0,2.28725089033995,0.651,0.042,0,"11","Pde11a"
"Adcy2",0,2.28133890267345,0.735,0.072,0,"11","Adcy2"
"Scn3a",0,2.26832307199692,0.713,0.006,0,"11","Scn3a"
"Pclo",0,2.24943688303452,0.879,0.023,0,"11","Pclo"
"Tac1",0,2.19387933777373,0.318,0.001,0,"11","Tac1"
"Arhgef381",0,2.18328981000618,0.749,0.064,0,"11","Arhgef38"
"Rab3c",0,2.17899192244851,0.442,0.005,0,"11","Rab3c"
"Rims2",0,2.17212019113255,0.93,0.037,0,"11","Rims2"
"Pcsk1n",0,2.14334422887035,0.651,0.005,0,"11","Pcsk1n"
"Nbea1",0,2.07743868464786,0.93,0.206,0,"11","Nbea"
"Fxyd31",0,2.07326719030469,0.752,0.053,0,"11","Fxyd3"
"Malrd1",0,2.05803192736367,0.704,0.039,0,"11","Malrd1"
"Snap25",0,2.05628992791363,0.814,0.004,0,"11","Snap25"
"Bex2",0,2.00714224484394,0.707,0.034,0,"11","Bex2"
"Neurod1",0,2.00149369626688,0.814,0,0,"11","Neurod1"
"Ncam21",0,1.99983102484425,0.73,0.032,0,"11","Ncam2"
"Cpe1",0,1.98337366416906,0.834,0.123,0,"11","Cpe"
"Krt20",0,1.97589616292663,0.755,0.038,0,"11","Krt20"
"Scg2",0,1.94022361491961,0.47,0.002,0,"11","Scg2"
"Syn2",0,1.87198921330599,0.637,0.012,0,"11","Syn2"
"Ptprt",0,1.83005456351702,0.521,0.015,0,"11","Ptprt"
"Rfx6",0,1.82592288602924,0.668,0,0,"11","Rfx6"
"Slc38a11",0,1.80279142059073,0.431,0.014,0,"11","Slc38a11"
"Rgs7",0,1.77863775477613,0.701,0.007,0,"11","Rgs7"
"L3mbtl4",0,1.77164797529941,0.437,0.006,0,"11","L3mbtl4"
"Gucy2c",0,1.75457063456739,0.873,0.088,0,"11","Gucy2c"
"Ica11",0,1.73145536217978,0.842,0.087,0,"11","Ica1"
"Krt7",0,1.72729234866658,0.693,0.062,0,"11","Krt7"
"Gnao1",0,1.69726522958781,0.842,0.062,0,"11","Gnao1"
"Asic2",0,1.6918752565236,0.346,0.002,0,"11","Asic2"
"Tox3",0,1.5875621619674,0.73,0.058,0,"11","Tox3"
"Fgf14",0,1.58637470664969,0.589,0.026,0,"11","Fgf14"
"Map21",0,1.58387381961948,0.603,0.049,0,"11","Map2"
"Syt7",0,1.58230452849757,0.732,0.036,0,"11","Syt7"
"Phldb2",0,1.58002762764702,0.839,0.155,0,"11","Phldb2"
"Bicd1",0,1.53039229302964,0.701,0.075,0,"11","Bicd1"
"Adgrg4",0,1.52214138350633,0.538,0,0,"11","Adgrg4"
"Rph3al",0,1.51035195060923,0.814,0.086,0,"11","Rph3al"
"Resp18",0,1.48604250450599,0.468,0.001,0,"11","Resp18"
"Hepacam21",0,1.46858371627102,0.828,0.075,0,"11","Hepacam2"
"Otud7a",0,1.44945445708618,0.597,0.013,0,"11","Otud7a"
"Nostrin",0,1.44884794805065,0.789,0.104,0,"11","Nostrin"
"Stk32a1",0,1.43875924134368,0.473,0.027,0,"11","Stk32a"
"Scg5",0,1.43546089076534,0.715,0.023,0,"11","Scg5"
"Scg3",0,1.42841755949891,0.634,0.018,0,"11","Scg3"
"Nrxn1",0,1.41423305523801,0.38,0.017,0,"11","Nrxn1"
"Cerkl",0,1.37338557953451,0.662,0.013,0,"11","Cerkl"
"Tbx31",0,1.35570732318121,0.583,0.061,0,"11","Tbx3"
"Nipal21",0,1.35448812312729,0.746,0.102,0,"11","Nipal2"
"Plcxd3",0,1.34239853231306,0.372,0.016,0,"11","Plcxd3"
"Gabrb3",0,1.33957697664156,0.589,0.015,0,"11","Gabrb3"
"Gm26871",0,1.3080282315397,0.465,0.005,0,"11","Gm26871"
"Elapor11",0,1.25191573800818,0.775,0.065,0,"11","Elapor1"
"Lin7a",0,1.23914671193146,0.527,0.029,0,"11","Lin7a"
"Tmem117",0,1.22922859961966,0.583,0.053,0,"11","Tmem117"
"Hcn1",0,1.22610045879587,0.417,0.007,0,"11","Hcn1"
"Isl1",0,1.22131882621034,0.397,0.018,0,"11","Isl1"
"Ctnna2",0,1.20820125156864,0.4,0.029,0,"11","Ctnna2"
"Jazf1",0,1.20746429744273,0.696,0.069,0,"11","Jazf1"
"Baiap2l21",0,1.20341433420942,0.758,0.077,0,"11","Baiap2l2"
"St18",0,1.20309547272316,0.662,0.034,0,"11","St18"
"Serpina1e",0,1.1999305276875,0.425,0.004,0,"11","Serpina1e"
"Mical2",0,1.19006000348371,0.78,0.123,0,"11","Mical2"
"Ush1c",0,1.17549862783164,0.744,0.088,0,"11","Ush1c"
"Lrrn1",0,1.15174516428073,0.327,0.009,0,"11","Lrrn1"
"Slc15a1",0,1.14303321262475,0.6,0.037,0,"11","Slc15a1"
"Clstn2",0,1.11552657604553,0.338,0.006,0,"11","Clstn2"
"Syn3",0,1.11529413706154,0.515,0.042,0,"11","Syn3"
"Adcy8",0,1.09060262618815,0.375,0.023,0,"11","Adcy8"
"Cplx2",0,1.08103830977434,0.699,0.046,0,"11","Cplx2"
"Arhgef281",0,1.0618347147514,0.648,0.074,0,"11","Arhgef28"
"Arfgef3",0,1.05590609591546,0.715,0.09,0,"11","Arfgef3"
"Cntnap2",0,1.03072232790611,0.273,0.007,0,"11","Cntnap2"
"Serpina1c",0,1.02331734744034,0.349,0.003,0,"11","Serpina1c"
"Gipc21",7.63684512774713e-295,1.16149572335676,0.727,0.108,1.4616921574508e-290,"11","Gipc2"
"Ccser12",9.34658334262245e-294,2.07872831819165,0.82,0.147,1.78893605177794e-289,"11","Ccser1"
"Map1b1",3.74131064972586e-291,1.58379381816,0.831,0.153,7.1608685835753e-287,"11","Map1b"
"Nts",8.7166142773004e-290,8.56454412553324,0.417,0.037,1.6683599726753e-285,"11","Nts"
"Prkn",4.39024014624778e-275,1.54000333659602,0.761,0.138,8.40291963991824e-271,"11","Prkn"
"Peg31",3.05364377253484e-265,1.51686400414841,0.845,0.159,5.84467418063168e-261,"11","Peg3"
"Klf12",1.2815994005028e-264,1.55484281661039,0.839,0.18,2.45298125256236e-260,"11","Klf12"
"Cystm11",1.15538411916153e-261,1.3184971624189,0.783,0.142,2.21140520407517e-257,"11","Cystm1"
"Krt82",2.53608887808459e-251,1.34114026240818,0.873,0.167,4.85407411265391e-247,"11","Krt8"
"Rnf1281",3.91491340851401e-248,1.07186135387256,0.744,0.129,7.49314426389582e-244,"11","Rnf128"
"Ank31",1.03819275009192e-247,1.27134082421506,0.775,0.148,1.98710092367593e-243,"11","Ank3"
"Tm4sf201",7.19888725443392e-247,1.03250081422207,0.583,0.079,1.37786702049865e-242,"11","Tm4sf20"
"Pam1",3.08568169462012e-246,1.98643663745937,0.907,0.259,5.90599476350291e-242,"11","Pam"
"Runx1t11",3.99218864174992e-241,1.2272527631143,0.735,0.135,7.64104906030936e-237,"11","Runx1t1"
"Ndrg11",6.35440703324258e-240,1.0099389548403,0.676,0.112,1.21623350616263e-235,"11","Ndrg1"
"Hnf4g1",8.85282128433588e-238,1.1716523101371,0.654,0.105,1.69442999382189e-233,"11","Hnf4g"
"Cldn72",5.25395577084527e-234,1.32373613411802,0.851,0.17,1.00560713453979e-229,"11","Cldn7"
"Rbp4",2.71585565052841e-231,1.22590857744349,0.259,0.017,5.19814771511137e-227,"11","Rbp4"
"Prnp1",1.47183775481694e-230,1.36041552541811,0.707,0.136,2.81709746271962e-226,"11","Prnp"
"Ms4a8a2",8.21345220761117e-229,1.33228951808266,0.73,0.135,1.57205475253678e-224,"11","Ms4a8a"
"Prr16",1.03499738322364e-228,1.11513024001695,0.349,0.032,1.98098499149005e-224,"11","Prr16"
"Gatm1",3.05146468777497e-228,1.57873080379979,0.701,0.132,5.84050341240129e-224,"11","Gatm"
"Krt181",1.15328224121798e-225,1.14413193394385,0.704,0.122,2.20738220969121e-221,"11","Krt18"
"Nt5e",2.77023441060219e-224,1.57145209212868,0.552,0.084,5.30222866189258e-220,"11","Nt5e"
"Car81",2.38293332087605e-222,1.95950455948095,0.631,0.106,4.56093437615675e-218,"11","Car8"
"Atp8a2",1.36210794898739e-220,1.05913524889879,0.589,0.092,2.60707461436186e-216,"11","Atp8a2"
"Anxa41",5.16149045679013e-220,1.24473937005778,0.817,0.182,9.87909273429631e-216,"11","Anxa4"
"Fmn11",2.77419023771062e-218,1.59084861726164,0.775,0.174,5.30980011497813e-214,"11","Fmn1"
"Rap1gap2",1.01412517285314e-212,1.44808881117852,0.873,0.239,1.9410355808409e-208,"11","Rap1gap2"
"Dpyd1",1.14250267204915e-212,1.58779748886903,0.746,0.165,2.18675011430208e-208,"11","Dpyd"
"Epcam2",3.23202777406981e-210,1.48788704449478,0.893,0.215,6.18610115956962e-206,"11","Epcam"
"Myo61",2.8999379347383e-207,1.4018460295233,0.907,0.272,5.55048120708911e-203,"11","Myo6"
"Ghr1",8.17331588161954e-207,2.1834279018742,0.876,0.256,1.56437265974198e-202,"11","Ghr"
"Muc132",7.64737492365982e-206,1.01410396676701,0.825,0.167,1.46370756038849e-201,"11","Muc13"
"Xkr41",6.25566600331311e-202,1.29422116602573,0.53,0.081,1.19733447303413e-197,"11","Xkr4"
"Etv1",8.51163407005109e-199,1.64470937908148,0.456,0.065,1.62912676100778e-194,"11","Etv1"
"Apbb21",3.39683766535142e-195,1.01829615474108,0.741,0.162,6.50154729148261e-191,"11","Apbb2"
"Hopx",7.35974859421784e-194,1.48424572527945,0.752,0.189,1.40865588093329e-189,"11","Hopx"
"Cdh171",1.03734666438715e-193,1.07752641417111,0.735,0.163,1.985481515637e-189,"11","Cdh17"
"Pde4d2",1.92934567410679e-191,2.24662855155711,0.969,0.427,3.69276762024039e-187,"11","Pde4d"
"Camk2n11",6.41953033889573e-190,1.16412632328301,0.763,0.185,1.22869810686464e-185,"11","Camk2n1"
"Lcorl",3.94089194668598e-189,2.54427610082368,0.927,0.414,7.54286718595696e-185,"11","Lcorl"
"Dlg21",1.19571441890057e-183,2.65420336982562,0.448,0.067,2.28859739777569e-179,"11","Dlg2"
"Mast2",3.685524549386e-182,1.37520963093784,0.783,0.219,7.05409398752481e-178,"11","Mast2"
"Ece1",9.44091978481082e-182,1.01942840849034,0.749,0.19,1.80699204681279e-177,"11","Ece1"
"Fam135a",3.91008416130482e-175,1.01135797113822,0.772,0.197,7.48390108473742e-171,"11","Fam135a"
"Chn2",9.77345142525006e-175,1.30132934177624,0.746,0.188,1.87063860279286e-170,"11","Chn2"
"Gse1",1.41941202106312e-170,1.3487934972927,0.794,0.25,2.7167546083148e-166,"11","Gse1"
"Nckap51",4.66306836103138e-168,1.36389096676564,0.673,0.154,8.92511284301406e-164,"11","Nckap5"
"Carmil1",5.088577419378e-164,1.09759486955272,0.763,0.211,9.73953718068949e-160,"11","Carmil1"
"Nckap1",5.62953679957887e-158,1.12712300550113,0.814,0.258,1.0774933434394e-153,"11","Nckap1"
"Stard131",2.00682345837886e-157,1.38216274944892,0.642,0.15,3.84106009933715e-153,"11","Stard13"
"Slc8a13",2.01084628597028e-157,1.80400763703013,0.904,0.31,3.84875979134712e-153,"11","Slc8a1"
"Maml3",5.19660546090221e-152,1.53918016058781,0.961,0.502,9.94630285216683e-148,"11","Maml3"
"Sgip12",1.70525975084942e-150,1.31310752639173,0.408,0.064,3.26386716312579e-146,"11","Sgip1"
"Aig1",4.01142560924194e-149,1.16703310779422,0.735,0.219,7.67786861608907e-145,"11","Aig1"
"Golim41",4.00951623780777e-143,1.34537394045602,0.859,0.332,7.67421407916407e-139,"11","Golim4"
"Gramd1b1",1.67489141870543e-137,1.06797841328278,0.707,0.203,3.20574217540219e-133,"11","Gramd1b"
"Fstl4",3.25917119238866e-136,1.3962405930908,0.282,0.034,6.23805366223189e-132,"11","Fstl4"
"Stxbp5",7.29580645730864e-136,1.06612090652093,0.707,0.219,1.39641735592887e-131,"11","Stxbp5"
"Psd31",2.68189182548987e-135,1.12322900184523,0.817,0.287,5.13314095398762e-131,"11","Psd3"
"Dst1",4.22547464084796e-135,1.06079228369259,0.873,0.307,8.08755846258299e-131,"11","Dst"
"Ralgapa21",1.81317484922578e-132,1.25286298513952,0.887,0.381,3.47041666141815e-128,"11","Ralgapa2"
"Rasal21",1.942699733332e-131,1.92052289357534,0.58,0.151,3.71832728959745e-127,"11","Rasal2"
"Atp8b12",7.84572840751808e-129,1.02468239727105,0.71,0.204,1.50167241719896e-124,"11","Atp8b1"
"Gmds1",8.74027809245122e-128,1.21047753381672,0.899,0.396,1.67288922689516e-123,"11","Gmds"
"Pip5k1b1",2.16096663199885e-126,1.00197568767735,0.794,0.262,4.1360901336458e-122,"11","Pip5k1b"
"Cdkn1a",6.70069829521781e-124,1.32966306010952,0.611,0.157,1.28251365370469e-119,"11","Cdkn1a"
"Gng12",1.29841208637744e-123,1.13367273440355,0.817,0.332,2.48516073332643e-119,"11","Gng12"
"Cacnb22",7.64243647571041e-117,1.01609975629834,0.617,0.158,1.46276234145097e-112,"11","Cacnb2"
"Gcc21",3.26781410759622e-115,1.11454967117823,0.868,0.394,6.25459620193916e-111,"11","Gcc2"
"Atp6v1b2",6.16149764830792e-109,1.08356848036346,0.741,0.29,1.17931064988614e-104,"11","Atp6v1b2"
"Sox62",4.21390677328809e-105,1.14589989340819,0.49,0.119,8.06541756407341e-101,"11","Sox6"
"2610035D17Rik",3.21008862706958e-99,1.40746963771185,0.707,0.283,6.14410963221118e-95,"11","2610035D17Rik"
"Fhit",1.28250601630514e-94,1.21016602639332,0.755,0.309,2.45471651520803e-90,"11","Fhit"
"Id1",1.46630385087224e-93,1.04566836621321,0.476,0.123,2.80650557056947e-89,"11","Id1"
"Adgrd1",9.61409229173262e-90,1.74964397906524,0.254,0.041,1.84013726463762e-85,"11","Adgrd1"
"Robo21",1.27307781871039e-79,1.12595082214841,0.403,0.099,2.43667094501169e-75,"11","Robo2"
"Fry1",3.76998112322441e-76,1.114305351647,0.724,0.322,7.21574386985152e-72,"11","Fry"
"Itpr3",1.41658659807663e-74,1.03625885367179,0.549,0.205,2.71134674871867e-70,"11","Itpr3"
"Mctp2",3.82986104841688e-68,1.11536667542036,0.597,0.235,7.33035404666991e-64,"11","Mctp2"
"Tenm32",9.73572163791793e-68,1.02581735556917,0.552,0.198,1.86341712149749e-63,"11","Tenm3"
"Magi2",6.85516870798276e-67,1.06844663797331,0.389,0.11,1.3120792907079e-62,"11","Magi2"
"Pkp4",6.07981999415788e-66,1.49830291925682,0.501,0.19,1.16367754688182e-61,"11","Pkp4"
"Zbtb201",1.12117228109165e-64,1.43512286158853,0.915,0.671,2.14592374600941e-60,"11","Zbtb20"
"Wwox",3.92134103901947e-63,1.2568641435151,0.741,0.395,7.50544674868326e-59,"11","Wwox"
"Ptprd1",3.91291213521945e-45,1.14760879788316,0.53,0.235,7.48931382681003e-41,"11","Ptprd"
"Gtf2f2",1.99544860940753e-40,1.25962061864759,0.507,0.268,3.81928863840602e-36,"11","Gtf2f2"
"Gphn2",3.95176027799579e-37,1.04374517255781,0.952,0.859,7.56366917208394e-33,"11","Gphn"
"Tenm41",7.95556545160629e-36,1.17781836011107,0.321,0.121,1.52269522743744e-31,"11","Tenm4"
"Mmp161",4.04798787530872e-28,1.14294850237016,0.293,0.118,7.7478487933409e-24,"11","Mmp16"
"Iqsec1",4.98141000718061e-25,1.11677001466303,0.459,0.27,9.53441875374368e-21,"11","Iqsec1"
"Slit32",1.2622953775208e-20,1.44119222154456,0.313,0.155,2.41603335257481e-16,"11","Slit3"
"Lars22",2.6642938625143e-19,1.05394011578518,0.958,0.915,5.09945845285237e-15,"11","Lars2"
"Fabp51",3.62479076642586e-15,1.09880487658036,0.313,0.16,6.93784952693909e-11,"11","Fabp5"
"Ms4a4b1",1.81982276972102e-176,1.55150890916551,0.966,0.153,3.48314078124603e-172,"12","Ms4a4b"
"Gm26821",5.51942863478272e-165,1.47595272824827,0.86,0.131,1.05641864069741e-160,"12","Gm2682"
"Cd3d1",8.03946304149415e-145,1.05298190554231,0.854,0.137,1.53875322614198e-140,"12","Cd3d"
"Skap11",2.50038918017383e-142,1.46794027281509,0.989,0.187,4.78574489085271e-138,"12","Skap1"
"Cd3g1",1.093161293716e-140,1.15067943461016,0.904,0.154,2.09231071617242e-136,"12","Cd3g"
"Lef11",1.94074944232135e-130,1.51431161835619,0.933,0.205,3.71459443260307e-126,"12","Lef1"
"Themis1",1.33110041013418e-127,1.10516066109789,0.758,0.125,2.54772618499682e-123,"12","Themis"
"Itk1",9.42454887920235e-122,1.20486451611348,0.882,0.177,1.80385865547933e-117,"12","Itk"
"Trbc21",1.90348543170514e-120,1.35910451639337,0.893,0.178,3.64327111628364e-116,"12","Trbc2"
"Prkcq1",2.62067854258122e-120,1.12674146670054,0.792,0.148,5.01597873050046e-116,"12","Prkcq"
"Trac1",4.49547841546665e-107,1.04038662227561,0.736,0.141,8.60434568720316e-103,"12","Trac"
"Camk42",6.41687165129561e-105,1.01016777620973,0.837,0.179,1.22818923405798e-100,"12","Camk4"
"Prkch1",7.75331749377719e-98,1.13587947328732,0.888,0.222,1.48398496830895e-93,"12","Prkch"
"Bcl11b1",1.37334181113288e-97,1.02389564198819,0.82,0.187,2.62857622650833e-93,"12","Bcl11b"
"Tcf72",5.20843162542586e-94,1.04777814836543,0.758,0.164,9.96893813106509e-90,"12","Tcf7"
"Igkc1",4.26582210715778e-89,1.30114305369247,0.949,0.24,8.16478351309999e-85,"12","Igkc"
"Satb11",8.73765743671552e-86,1.42989679460476,0.961,0.346,1.67238763338735e-81,"12","Satb1"
"Grap21",2.66989882210241e-79,1.0970239223579,0.899,0.271,5.11018634550401e-75,"12","Grap2"
"Ly6d1",9.1303981017444e-75,1.00987028307492,0.893,0.235,1.74755819667388e-70,"12","Ly6d"
"Trbc11",4.81927787469889e-74,1.03136665550193,0.556,0.112,9.22409785217367e-70,"12","Trbc1"
"Cmah1",1.96909448975812e-65,1.00985417524399,0.921,0.318,3.76884685339704e-61,"12","Cmah"
"Ets11",3.97754136438283e-65,1.15613902104898,0.994,0.47,7.61301417142874e-61,"12","Ets1"
"Ighm1",6.24139468641815e-65,1.10408548198542,0.994,0.375,1.19460294298043e-60,"12","Ighm"
"Cytip1",6.73187786680479e-60,1.0039703343686,0.955,0.417,1.28848142370644e-55,"12","Cytip"
"Inpp4b2",2.79535737436848e-59,1.14705864880058,0.949,0.421,5.35031401454126e-55,"12","Inpp4b"
"Arhgap151",5.42883765326997e-59,1.24809734116292,1,0.575,1.03907952683587e-54,"12","Arhgap15"
"Ripor22",1.34083138950067e-58,1.05001644576049,0.983,0.451,2.56635127950428e-54,"12","Ripor2"
"Ikzf11",1.44113923248722e-58,1.11341601685966,0.978,0.485,2.75834049098054e-54,"12","Ikzf1"
"Bach21",7.90380062468236e-56,1.03766601880722,0.989,0.501,1.5127874395642e-51,"12","Bach2"
"Shisa52",6.20375500294591e-55,1.0055896792834,0.972,0.507,1.18739870756385e-50,"12","Shisa5"
"Aff31",1.31155682827075e-53,1.04409900137163,0.994,0.499,2.51031976931021e-49,"12","Aff3"
"Gramd31",2.41352662367069e-51,1.04168026540055,0.787,0.328,4.61948995770571e-47,"12","Gramd3"
"Dock22",4.7072375431601e-51,1.05975031938425,0.994,0.577,9.00965265760843e-47,"12","Dock2"
"Ptprc1",9.39515928191117e-48,1.02611168168188,0.994,0.584,1.7982334865578e-43,"12","Ptprc"
